Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-25 00:40:54 +0000,1,Proud,C,Centre Pass,1,0,0,50, 100
2018-11-25 00:40:54 +0000,1,Hadley,WA,Assist - Centre Pass Rec,1,0,0,16, 125
2018-11-25 00:40:56 +0000,1,Turner,GD,Assist - 2nd Phase,1,0,0,30, 103
2018-11-25 00:40:58 +0000,1,Proud,C,Possession,1,0,0,47, 114
2018-11-25 00:41:00 +0000,1,Hadley,WA,Possession,1,0,0,31, 128
2018-11-25 00:41:05 +0000,1,Wallace,GS,Possession,1,0,0,19, 178
2018-11-25 00:41:08 +0000,1,Hadley,WA,Possession,1,0,0,70, 169
2018-11-25 00:41:12 +0000,1,Hadley,WA,Assist - Circle Entry,1,0,0,70, 169
2018-11-25 00:41:13 +0000,1,Housby ,GA,Goal - Miss,1,0,0,56, 183
2018-11-25 00:41:24 +0000,0,Mentor,GK,Gain - Def Reb,1,0,0,50, 197
2018-11-25 00:41:32 +0000,1,Proud,C,Deflect,1,0,0,9, 170
2018-11-25 00:41:32 +0000,0,Mentor,GK,Throw In,1,0,0,-3, 180
2018-11-25 00:41:40 +0000,0,Pretorius ,GD,Possession,1,0,0,45, 179
2018-11-25 00:41:42 +0000,0,McAuliffe,WD,Possession,1,0,0,52, 118
2018-11-25 00:41:44 +0000,0,Browne,WA,Possession,1,0,0,55, 84
2018-11-25 00:41:46 +0000,0,Wood,GA,Possession,1,0,0,42, 62
2018-11-25 00:41:49 +0000,0,Wood,GA,Assist - Circle Entry,1,0,0,42, 62
2018-11-25 00:41:50 +0000,0,Bassett,GS,Goal - Score,1,0,0,52, 4
2018-11-25 00:41:56 +0000,0,Scherian ,C,Centre Pass,1,1,0,50, 100
2018-11-25 00:41:56 +0000,0,Browne,WA,Assist - Centre Pass Rec,1,1,0,27, 83
2018-11-25 00:41:58 +0000,0,Wood,GA,Assist - 2nd Phase,1,1,0,9, 58
2018-11-25 00:42:00 +0000,0,Pretorius ,GD,Possession,1,1,0,10, 70
2018-11-25 00:42:02 +0000,0,Scherian ,C,Possession,1,1,0,15, 51
2018-11-25 00:42:03 +0000,0,Wood,GA,Possession,1,1,0,8, 33
2018-11-25 00:42:31 +0000,1,Klau ,GK,Deflect,1,1,0,22, 24
2018-11-25 00:42:31 +0000,0,Bassett,GS,Deflect,1,1,0,20, 28
2018-11-25 00:42:36 +0000,1,Klau ,GK,Throw In,1,1,0,8, -6
2018-11-25 00:42:56 +0000,1,McCulloch,WD,Possession,1,1,0,80, 18
2018-11-25 00:42:58 +0000,1,Klau ,GK,Possession,1,1,0,67, 11
2018-11-25 00:43:01 +0000,1,Proud,C,Possession,1,1,0,82, 38
2018-11-25 00:43:11 +0000,1,McCulloch,WD,Possession,1,1,0,89, 56
2018-11-25 00:43:13 +0000,1,Proud,C,Possession,1,1,0,73, 77
2018-11-25 00:43:15 +0000,1,McCulloch,WD,Possession,1,1,0,88, 79
2018-11-25 00:43:18 +0000,1,Housby ,GA,Possession,1,1,0,51, 113
2018-11-25 00:43:21 +0000,1,Hadley,WA,Possession,1,1,0,55, 137
2018-11-25 00:43:23 +0000,1,McCulloch,WD,Possession,1,1,0,40, 129
2018-11-25 00:43:25 +0000,1,Proud,C,Possession,1,1,0,23, 145
2018-11-25 00:43:27 +0000,1,Hadley,WA,Possession,1,1,0,20, 181
2018-11-25 00:43:32 +0000,1,Hadley,WA,Assist - Circle Entry,1,1,0,20, 181
2018-11-25 00:43:32 +0000,0,Mentor,GK,Gain - Inter,1,1,0,64, 181
2018-11-25 00:43:36 +0000,0,Browne,WA,Possession,1,1,0,78, 130
2018-11-25 00:43:41 +0000,0,McAuliffe,WD,Possession,1,1,0,69, 112
2018-11-25 00:43:45 +0000,0,Wood,GA,Possession,1,1,0,48, 83
2018-11-25 00:43:47 +0000,0,Scherian ,C,Possession,1,1,0,12, 61
2018-11-25 00:43:51 +0000,0,Browne,WA,Possession,1,1,0,22, 27
2018-11-25 00:43:54 +0000,0,Browne,WA,Assist - Circle Entry,1,1,0,22, 27
2018-11-25 00:43:54 +0000,0,Bassett,GS,Possession,1,1,0,29, 17
2018-11-25 00:43:56 +0000,0,Scherian ,C,Possession,1,1,0,25, 58
2018-11-25 00:43:59 +0000,0,Wood,GA,Possession,1,1,0,49, 44
2018-11-25 00:44:01 +0000,0,Scherian ,C,Possession,1,1,0,61, 32
2018-11-25 00:44:07 +0000,0,Scherian ,C,Assist - Circle Entry,1,1,0,61, 32
2018-11-25 00:44:07 +0000,0,Bassett,GS,Possession,1,1,0,51, 17
2018-11-25 00:44:09 +0000,1,Klau ,GK,Penaly - Contact,1,1,0,51, 17
2018-11-25 00:44:09 +0000,0,Wood,GA,Goal - Score,1,1,0,51, 17
2018-11-25 00:44:24 +0000,1,Proud,C,Centre Pass,1,2,0,50, 100
2018-11-25 00:44:24 +0000,1,Hadley,WA,Assist - Centre Pass Rec,1,2,0,18, 118
2018-11-25 00:44:29 +0000,1,Housby ,GA,Assist - 2nd Phase,1,2,0,89, 149
2018-11-25 00:44:31 +0000,1,McCulloch,WD,Possession,1,2,0,77, 129
2018-11-25 00:44:34 +0000,1,Proud,C,Possession,1,2,0,67, 149
2018-11-25 00:44:37 +0000,1,Wallace,GS,Possession,1,2,0,84, 184
2018-11-25 00:44:39 +0000,1,Proud,C,Possession,1,2,0,71, 171
2018-11-25 00:44:42 +0000,1,Proud,C,Assist - Circle Entry,1,2,0,71, 171
2018-11-25 00:44:42 +0000,1,Housby ,GA,Possession,1,2,0,51, 172
2018-11-25 00:44:44 +0000,1,Proud,C,Possession,1,2,0,65, 167
2018-11-25 00:44:47 +0000,1,Proud,C,Assist - Circle Entry,1,2,0,65, 167
2018-11-25 00:44:47 +0000,1,Housby ,GA,Goal - Score,1,2,0,52, 179
2018-11-25 00:45:00 +0000,0,Scherian ,C,Centre Pass,1,2,1,50, 100
2018-11-25 00:45:00 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,2,1,13, 73
2018-11-25 00:45:02 +0000,0,Browne,WA,Assist - 2nd Phase,1,2,1,31, 68
2018-11-25 00:45:05 +0000,0,Scherian ,C,Possession,1,2,1,67, 52
2018-11-25 00:45:08 +0000,0,Wood,GA,Possession,1,2,1,34, 50
2018-11-25 00:45:12 +0000,0,Wood,GA,Assist - Circle Entry,1,2,1,34, 50
2018-11-25 00:45:12 +0000,0,Bassett,GS,Possession,1,2,1,48, 15
2018-11-25 00:45:15 +0000,0,Browne,WA,Possession,1,2,1,81, 17
2018-11-25 00:45:23 +0000,1,Klau ,GK,Penaly - Contact,1,2,1,65, 13
2018-11-25 00:45:23 +0000,0,Wood,GA,Possession,1,2,1,65, 13
2018-11-25 00:45:35 +0000,0,Bassett,GS,Possession,1,2,1,54, 9
2018-11-25 00:45:35 +0000,1,Turner,GD,Penaly - Contact,1,2,1,54, 9
2018-11-25 00:45:35 +0000,0,Bassett,GS,Goal - Miss,1,2,1,54, 9
2018-11-25 00:45:40 +0000,0,Bassett,GS,Assist - Attack Rebound,1,2,1,50, 2
2018-11-25 00:45:43 +0000,0,Bassett,GS,Goal - Score,1,2,1,54, 9
2018-11-25 00:45:51 +0000,1,Proud,C,Centre Pass,1,3,1,50, 100
2018-11-25 00:45:51 +0000,1,Hadley,WA,Assist - Centre Pass Rec,1,3,1,83, 126
2018-11-25 00:45:53 +0000,1,Proud,C,Assist - 2nd Phase,1,3,1,30, 163
2018-11-25 00:45:58 +0000,1,Proud,C,Assist - Circle Entry,1,3,1,30, 163
2018-11-25 00:45:58 +0000,1,Wallace,GS,Possession,1,3,1,44, 194
2018-11-25 00:45:59 +0000,1,Housby ,GA,Possession,1,3,1,38, 182
2018-11-25 00:46:02 +0000,1,Proud,C,Possession,1,3,1,26, 171
2018-11-25 00:46:05 +0000,1,Proud,C,Assist - Circle Entry,1,3,1,26, 171
2018-11-25 00:46:05 +0000,1,Housby ,GA,Goal - Score,1,3,1,46, 196
2018-11-25 00:46:17 +0000,0,Scherian ,C,Centre Pass,1,3,2,50, 100
2018-11-25 00:46:17 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,3,2,3, 72
2018-11-25 00:46:19 +0000,0,Browne,WA,Assist - 2nd Phase,1,3,2,11, 18
2018-11-25 00:46:25 +0000,0,Wood,GA,Possession,1,3,2,17, 39
2018-11-25 00:46:26 +0000,0,Scherian ,C,Possession,1,3,2,40, 37
2018-11-25 00:46:35 +0000,0,Scherian ,C,Assist - Circle Entry,1,3,2,40, 37
2018-11-25 00:46:35 +0000,0,Bassett,GS,Goal - Score,1,3,2,51, 3
2018-11-25 00:46:45 +0000,1,Proud,C,Centre Pass,1,4,2,50, 100
2018-11-25 00:46:45 +0000,1,Housby ,GA,Assist - Centre Pass Rec,1,4,2,75, 124
2018-11-25 00:46:47 +0000,1,Hadley,WA,Assist - 2nd Phase,1,4,2,63, 131
2018-11-25 00:46:51 +0000,0,Scherian ,C,Penaly - Contact,1,4,2,63, 131
2018-11-25 00:46:51 +0000,1,McCulloch,WD,Possession,1,4,2,63, 131
2018-11-25 00:47:10 +0000,1,Hadley,WA,Possession,1,4,2,59, 162
2018-11-25 00:47:14 +0000,1,Hadley,WA,Assist - Circle Entry,1,4,2,59, 162
2018-11-25 00:47:14 +0000,1,Wallace,GS,Possession,1,4,2,41, 186
2018-11-25 00:48:11 +0000,0,Mentor,GK,Penaly - Contact,1,4,2,41, 186
2018-11-25 00:48:11 +0000,1,Wallace,GS,Goal - Score,1,4,2,41, 186
2018-11-25 00:48:24 +0000,0,Scherian ,C,Centre Pass,1,4,3,50, 100
2018-11-25 00:48:24 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,4,3,6, 74
2018-11-25 00:48:26 +0000,0,McAuliffe,WD,Assist - 2nd Phase,1,4,3,26, 95
2018-11-25 00:48:28 +0000,0,Scherian ,C,Possession,1,4,3,31, 73
2018-11-25 00:48:33 +0000,0,Bassett,GS,Possession,1,4,3,58, 38
2018-11-25 00:48:35 +0000,1,Klau ,GK,Penaly - Obstruction,1,4,3,58, 38
2018-11-25 00:48:35 +0000,0,Scherian ,C,Possession,1,4,3,58, 38
2018-11-25 00:48:47 +0000,0,Scherian ,C,Assist - Circle Entry,1,4,3,58, 38
2018-11-25 00:48:47 +0000,0,Wood,GA,Goal - Score,1,4,3,50, 17
2018-11-25 00:48:59 +0000,1,Proud,C,Centre Pass,1,5,3,50, 100
2018-11-25 00:48:59 +0000,1,Hadley,WA,Assist - Centre Pass Rec,1,5,3,22, 124
2018-11-25 00:49:01 +0000,1,Housby ,GA,Assist - 2nd Phase,1,5,3,10, 152
2018-11-25 00:49:03 +0000,1,Hadley,WA,Possession,1,5,3,31, 144
2018-11-25 00:49:05 +0000,1,Hadley,WA,Assist - Circle Entry,1,5,3,31, 144
2018-11-25 00:49:05 +0000,1,Wallace,GS,Possession,1,5,3,61, 172
2018-11-25 00:49:13 +0000,1,Housby ,GA,Goal - Score,1,5,3,53, 183
2018-11-25 00:49:18 +0000,0,Scherian ,C,Centre Pass,1,5,4,50, 100
2018-11-25 00:49:18 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,5,4,24, 74
2018-11-25 00:49:20 +0000,0,Scherian ,C,Assist - 2nd Phase,1,5,4,37, 74
2018-11-25 00:49:22 +0000,0,Browne,WA,Possession,1,5,4,43, 60
2018-11-25 00:49:25 +0000,0,Browne,WA,Assist - Circle Entry,1,5,4,43, 60
2018-11-25 00:49:25 +0000,0,Bassett,GS,Possession,1,5,4,42, 21
2018-11-25 00:49:28 +0000,0,Scherian ,C,Possession,1,5,4,50, 34
2018-11-25 00:49:32 +0000,0,Scherian ,C,Assist - Circle Entry,1,5,4,50, 34
2018-11-25 00:49:32 +0000,0,Bassett,GS,Possession,1,5,4,50, 12
2018-11-25 00:49:36 +0000,1,Turner,GD,Penaly - Contact,1,5,4,50, 12
2018-11-25 00:49:36 +0000,0,Wood,GA,Goal - Score,1,5,4,50, 12
2018-11-25 00:49:46 +0000,1,Proud,C,Centre Pass,1,6,4,50, 100
2018-11-25 00:49:46 +0000,1,Housby ,GA,Assist - Centre Pass Rec,1,6,4,86, 125
2018-11-25 00:49:49 +0000,1,Housby ,GA,Assist - Circle Entry,1,6,4,86, 125
2018-11-25 00:49:49 +0000,1,Wallace,GS,Possession,1,6,4,78, 196
2018-11-25 00:49:53 +0000,1,Hadley,WA,Possession,1,6,4,79, 180
2018-11-25 00:49:56 +0000,0,McAuliffe,WD,Penaly - Contact,1,6,4,79, 180
2018-11-25 00:49:56 +0000,1,Hadley,WA,Possession,1,6,4,79, 180
2018-11-25 00:49:59 +0000,1,Hadley,WA,Assist - Circle Entry,1,6,4,79, 180
2018-11-25 00:49:59 +0000,1,Housby ,GA,Possession,1,6,4,74, 192
2018-11-25 00:50:01 +0000,0,Pretorius ,GD,Penaly - Contact,1,6,4,74, 192
2018-11-25 00:50:01 +0000,1,Housby ,GA,Goal - Score,1,6,4,74, 192
2018-11-25 00:50:13 +0000,0,Scherian ,C,Centre Pass,1,6,5,50, 100
2018-11-25 00:50:13 +0000,0,Browne,WA,Assist - Centre Pass Rec,1,6,5,10, 75
2018-11-25 00:50:15 +0000,0,Wood,GA,Assist - 2nd Phase,1,6,5,8, 52
2018-11-25 00:50:19 +0000,0,Scherian ,C,Possession,1,6,5,21, 59
2018-11-25 00:50:21 +0000,0,McAuliffe,WD,Possession,1,6,5,30, 70
2018-11-25 00:50:25 +0000,0,Browne,WA,Possession,1,6,5,34, 51
2018-11-25 00:50:28 +0000,0,Wood,GA,Possession,1,6,5,23, 38
2018-11-25 00:50:30 +0000,0,Wood,GA,Assist - Circle Entry,1,6,5,23, 38
2018-11-25 00:50:31 +0000,0,Bassett,GS,Goal - Miss,1,6,5,34, 9
2018-11-25 00:50:37 +0000,1,Turner,GD,Gain - Def Reb,1,6,5,50, 2
2018-11-25 00:50:39 +0000,1,Proud,C,Possession,1,6,5,52, 51
2018-11-25 00:50:41 +0000,1,Klau ,GK,Possession,1,6,5,16, 54
2018-11-25 00:50:43 +0000,1,Hadley,WA,Possession,1,6,5,12, 89
2018-11-25 00:50:48 +0000,1,Turner,GD,Possession,1,6,5,35, 89
2018-11-25 00:50:50 +0000,1,McCulloch,WD,Possession,1,6,5,77, 122
2018-11-25 00:50:57 +0000,1,Proud,C,Possession,1,6,5,79, 148
2018-11-25 00:51:01 +0000,1,Hadley,WA,Possession,1,6,5,58, 151
2018-11-25 00:51:03 +0000,1,Housby ,GA,Possession,1,6,5,46, 157
2018-11-25 00:51:08 +0000,1,Housby ,GA,Assist - Circle Entry,1,6,5,46, 157
2018-11-25 00:51:08 +0000,1,Wallace,GS,Possession,1,6,5,41, 172
2018-11-25 00:51:10 +0000,1,Hadley,WA,Possession,1,6,5,41, 164
2018-11-25 00:51:13 +0000,1,Hadley,WA,Assist - Circle Entry,1,6,5,41, 164
2018-11-25 00:51:13 +0000,1,Wallace,GS,Goal - Score,1,6,5,45, 181
2018-11-25 00:51:31 +0000,1,Proud,C,Centre Pass,1,6,6,50, 100
2018-11-25 00:51:31 +0000,1,McCulloch,WD,Assist - Centre Pass Rec,1,6,6,58, 85
2018-11-25 00:51:34 +0000,1,Hadley,WA,Assist - 2nd Phase,1,6,6,73, 91
2018-11-25 00:51:37 +0000,1,Housby ,GA,Possession,1,6,6,89, 160
2018-11-25 00:51:47 +0000,1,Proud,C,Possession,1,6,6,70, 164
2018-11-25 00:51:51 +0000,1,Wallace,GS,Possession,1,6,6,85, 195
2018-11-25 00:51:57 +0000,1,Hadley,WA,Possession,1,6,6,50, 163
2018-11-25 00:52:00 +0000,1,Hadley,WA,Assist - Circle Entry,1,6,6,50, 163
2018-11-25 00:52:00 +0000,1,Housby ,GA,Possession,1,6,6,49, 179
2018-11-25 00:52:41 +0000,0,Wood,GA,Goal - Miss,1,6,6,49, 179
2018-11-25 00:52:41 +0000,0,Mentor,GK,Gain - Def Reb,1,6,6,50, 197
2018-11-25 00:52:47 +0000,0,Mentor,GK,Loss - Out of Court,1,6,6,50, 198
2018-11-25 00:52:58 +0000,1,Proud,C,Possession,1,6,6,53, 163
2018-11-25 00:53:20 +0000,0,Mentor,GK,Deflect,1,6,6,47, 172
2018-11-25 00:53:20 +0000,1,Proud,C,Possession,1,6,6,53, 165
2018-11-25 00:53:30 +0000,1,Proud,C,Assist - Circle Entry,1,6,6,53, 165
2018-11-25 00:53:30 +0000,1,Housby ,GA,Possession,1,6,6,63, 179
2018-11-25 00:53:32 +0000,0,Pretorius ,GD,Penaly - Contact,1,6,6,63, 179
2018-11-25 00:53:32 +0000,1,Housby ,GA,Possession,1,6,6,63, 179
2018-11-25 00:53:36 +0000,1,Wallace,GS,Possession,1,6,6,49, 191
2018-11-25 00:53:37 +0000,0,Mentor,GK,Penaly - Contact,1,6,6,49, 191
2018-11-25 00:53:37 +0000,1,Wallace,GS,Goal - Score,1,6,6,49, 191
2018-11-25 00:53:48 +0000,0,Scherian ,C,Centre Pass,1,6,7,50, 100
2018-11-25 00:53:48 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,6,7,6, 81
2018-11-25 00:53:50 +0000,0,McAuliffe,WD,Assist - 2nd Phase,1,6,7,24, 76
2018-11-25 00:53:56 +0000,0,Scherian ,C,Possession,1,6,7,63, 36
2018-11-25 00:54:04 +0000,0,Scherian ,C,Assist - Circle Entry,1,6,7,63, 36
2018-11-25 00:54:04 +0000,1,Klau ,GK,Gain - Inter,1,6,7,45, 6
2018-11-25 00:54:07 +0000,1,Turner,GD,Possession,1,6,7,35, 4
2018-11-25 00:54:18 +0000,1,Proud,C,Possession,1,6,7,14, 60
2018-11-25 00:54:21 +0000,1,Hadley,WA,Possession,1,6,7,7, 118
2018-11-25 00:54:23 +0000,1,Turner,GD,Possession,1,6,7,66, 108
2018-11-25 00:54:27 +0000,0,Pretorius ,GD,Deflect,1,6,7,74, 141
2018-11-25 00:54:27 +0000,1,Housby ,GA,Possession,1,6,7,75, 121
2018-11-25 00:54:38 +0000,1,Turner,GD,Possession,1,6,7,76, 99
2018-11-25 00:54:59 +0000,1,McCulloch,WD,Possession,1,6,7,16, 99
2018-11-25 00:55:03 +0000,1,Proud,C,Possession,1,6,7,44, 125
2018-11-25 00:55:08 +0000,1,Wallace,GS,Possession,1,6,7,77, 169
2018-11-25 00:55:14 +0000,1,Proud,C,Possession,1,6,7,21, 176
2018-11-25 00:55:18 +0000,1,Proud,C,Assist - Circle Entry,1,6,7,21, 176
2018-11-25 00:55:18 +0000,1,Wallace,GS,Goal - Score,1,6,7,53, 195
2018-11-25 00:55:26 +0000,1,Proud,C,Centre Pass,1,6,8,50, 100
2018-11-25 00:55:26 +0000,1,Hadley,WA,Assist - Centre Pass Rec,1,6,8,77, 124
2018-11-25 00:55:28 +0000,1,Wallace,GS,Assist - 2nd Phase,1,6,8,83, 189
2018-11-25 00:55:30 +0000,0,Pretorius ,GD,Gain - Inter,1,6,8,17, 182
2018-11-25 00:55:39 +0000,0,Scherian ,C,Possession,1,6,8,22, 155
2018-11-25 00:55:46 +0000,0,McAuliffe,WD,Possession,1,6,8,14, 118
2018-11-25 00:55:49 +0000,0,Scherian ,C,Possession,1,6,8,18, 94
2018-11-25 00:55:51 +0000,0,Wood,GA,Possession,1,6,8,7, 52
2018-11-25 00:55:54 +0000,0,Browne,WA,Possession,1,6,8,17, 44
2018-11-25 00:55:57 +0000,0,Wood,GA,Possession,1,6,8,7, 40
2018-11-25 00:56:03 +0000,1,Klau ,GK,Penaly - Contact,1,6,8,31, 14
2018-11-25 00:56:03 +0000,0,Wood,GA,Possession,1,6,8,31, 14
2018-11-25 00:56:10 +0000,0,Bassett,GS,Goal - Score,1,6,8,42, 10
2018-11-25 00:56:23 +0000,0,,UNKNOWN,Timeout,1,7,8,110, 222
2018-11-25 00:57:22 +0000,0,Scherian ,C,Centre Pass,1,7,8,50, 100
2018-11-25 00:57:22 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,7,8,79, 74
2018-11-25 00:57:25 +0000,0,Browne,WA,Assist - 2nd Phase,1,7,8,23, 37
2018-11-25 00:57:29 +0000,0,Scherian ,C,Possession,1,7,8,30, 28
2018-11-25 00:57:31 +0000,0,Browne,WA,Possession,1,7,8,11, 4
2018-11-25 00:57:34 +0000,0,Browne,WA,Assist - Circle Entry,1,7,8,11, 4
2018-11-25 00:57:34 +0000,0,Wood,GA,Goal - Score,1,7,8,33, 5
2018-11-25 00:57:46 +0000,1,Proud,C,Centre Pass,1,8,8,50, 100
2018-11-25 00:57:46 +0000,1,Housby ,GA,Assist - Centre Pass Rec,1,8,8,74, 126
2018-11-25 00:57:48 +0000,1,Hadley,WA,Assist - 2nd Phase,1,8,8,54, 162
2018-11-25 00:57:51 +0000,1,McCulloch,WD,Possession,1,8,8,38, 129
2018-11-25 00:57:53 +0000,1,Hadley,WA,Possession,1,8,8,43, 150
2018-11-25 00:57:55 +0000,1,Housby ,GA,Possession,1,8,8,70, 168
2018-11-25 00:57:57 +0000,1,Hadley,WA,Possession,1,8,8,76, 176
2018-11-25 00:57:59 +0000,1,Hadley,WA,Assist - Circle Entry,1,8,8,76, 176
2018-11-25 00:57:59 +0000,1,Housby ,GA,Possession,1,8,8,63, 181
2018-11-25 00:58:03 +0000,1,Hadley,WA,Possession,1,8,8,72, 172
2018-11-25 00:58:05 +0000,1,Hadley,WA,Assist - Circle Entry,1,8,8,72, 172
2018-11-25 00:58:05 +0000,1,Housby ,GA,Possession,1,8,8,73, 186
2018-11-25 00:58:17 +0000,1,Hadley,WA,Loss - Offside,1,8,8,67, 169
2018-11-25 00:58:22 +0000,0,Mentor,GK,Possession,1,8,8,65, 168
2018-11-25 00:58:28 +0000,0,Pretorius ,GD,Possession,1,8,8,55, 170
2018-11-25 00:58:30 +0000,0,Mentor,GK,Possession,1,8,8,15, 166
2018-11-25 00:58:33 +0000,0,Scherian ,C,Possession,1,8,8,19, 145
2018-11-25 00:58:36 +0000,0,Mentor,GK,Possession,1,8,8,47, 149
2018-11-25 00:58:38 +0000,0,Scherian ,C,Possession,1,8,8,68, 124
2018-11-25 00:58:42 +0000,0,Browne,WA,Possession,1,8,8,59, 103
2018-11-25 00:58:56 +0000,1,Turner,GD,Penaly - Contact,1,8,8,34, 48
2018-11-25 00:58:56 +0000,0,Browne,WA,Possession,1,8,8,34, 48
2018-11-25 00:59:19 +0000,0,Wood,GA,Possession,1,8,8,19, 24
2018-11-25 00:59:21 +0000,0,Wood,GA,Assist - Circle Entry,1,8,8,19, 24
2018-11-25 00:59:21 +0000,0,Bassett,GS,Goal - Score,1,8,8,42, 7
2018-11-25 00:59:34 +0000,0,Scherian ,C,Centre Pass,1,9,8,50, 100
2018-11-25 00:59:34 +0000,0,Browne,WA,Assist - Centre Pass Rec,1,9,8,27, 88
2018-11-25 00:59:36 +0000,0,Wood,GA,Assist - 2nd Phase,1,9,8,4, 71
2018-11-25 00:59:39 +0000,0,Pretorius ,GD,Possession,1,9,8,19, 69
2018-11-25 00:59:43 +0000,0,Scherian ,C,Possession,1,9,8,8, 83
2018-11-25 00:59:46 +0000,0,McAuliffe,WD,Possession,1,9,8,32, 109
2018-11-25 00:59:53 +0000,1,Proud,C,Deflect,1,9,8,54, 114
2018-11-25 00:59:54 +0000,0,Mentor,GK,Possession,1,9,8,47, 136
2018-11-25 01:00:01 +0000,0,Browne,WA,Possession,1,9,8,68, 114
2018-11-25 01:00:04 +0000,0,McAuliffe,WD,Possession,1,9,8,53, 80
2018-11-25 01:00:09 +0000,0,Scherian ,C,Possession,1,9,8,34, 32
2018-11-25 01:00:17 +0000,0,Scherian ,C,Assist - Circle Entry,1,9,8,34, 32
2018-11-25 01:00:17 +0000,0,Bassett,GS,Possession,1,9,8,53, 4
2018-11-25 01:00:17 +0000,1,Turner,GD,Penaly - Contact,1,9,8,53, 4
2018-11-25 01:00:17 +0000,0,Bassett,GS,Goal - Score,1,9,8,53, 4
2018-11-25 01:01:42 +0000,1,Proud,C,Centre Pass,1,10,8,50, 100
2018-11-25 01:01:42 +0000,1,Housby ,GA,Assist - Centre Pass Rec,1,10,8,27, 129
2018-11-25 01:01:48 +0000,1,Proud,C,Assist - 2nd Phase,1,10,8,77, 174
2018-11-25 01:01:49 +0000,0,McAuliffe,WD,Penaly - Contact,1,10,8,43, 155
2018-11-25 01:01:49 +0000,1,Hadley,WA,Possession,1,10,8,43, 155
2018-11-25 01:01:59 +0000,1,Hadley,WA,Assist - Circle Entry,1,10,8,43, 155
2018-11-25 01:01:59 +0000,1,Housby ,GA,Goal - Score,1,10,8,44, 195
2018-11-25 01:02:08 +0000,0,Scherian ,C,Centre Pass,1,10,9,50, 100
2018-11-25 01:02:08 +0000,0,Browne,WA,Assist - Centre Pass Rec,1,10,9,22, 83
2018-11-25 01:02:10 +0000,0,Wood,GA,Assist - 2nd Phase,1,10,9,12, 22
2018-11-25 01:02:14 +0000,0,Browne,WA,Possession,1,10,9,84, 7
2018-11-25 01:02:18 +0000,1,Proud,C,Penaly - Obstruction,1,10,9,84, 7
2018-11-25 01:02:18 +0000,0,Browne,WA,Possession,1,10,9,84, 7
2018-11-25 01:02:24 +0000,0,Browne,WA,Assist - Circle Entry,1,10,9,84, 7
2018-11-25 01:02:24 +0000,0,Bassett,GS,Goal - Score,1,10,9,51, 12
2018-11-25 01:02:33 +0000,1,Proud,C,Centre Pass,1,11,9,50, 100
2018-11-25 01:02:33 +0000,1,Housby ,GA,Assist - Centre Pass Rec,1,11,9,84, 125
2018-11-25 01:02:35 +0000,1,McCulloch,WD,Assist - 2nd Phase,1,11,9,73, 111
2018-11-25 01:02:37 +0000,1,Hadley,WA,Possession,1,11,9,76, 130
2018-11-25 01:02:40 +0000,1,Hadley,WA,Assist - Circle Entry,1,11,9,76, 130
2018-11-25 01:02:40 +0000,1,Wallace,GS,Possession,1,11,9,47, 175
2018-11-25 01:02:42 +0000,1,Proud,C,Possession,1,11,9,57, 164
2018-11-25 01:02:44 +0000,1,Proud,C,Assist - Circle Entry,1,11,9,57, 164
2018-11-25 01:02:45 +0000,1,Wallace,GS,Possession,1,11,9,50, 188
2018-11-25 01:02:49 +0000,0,Mentor,GK,Penaly - Obstruction,1,11,9,50, 188
2018-11-25 01:02:49 +0000,1,Wallace,GS,Goal - Score,1,11,9,50, 188
2018-11-25 01:02:58 +0000,0,Scherian ,C,Centre Pass,1,11,10,50, 100
2018-11-25 01:02:58 +0000,0,Browne,WA,Assist - Centre Pass Rec,1,11,10,9, 80
2018-11-25 01:03:00 +0000,0,Wood,GA,Assist - 2nd Phase,1,11,10,10, 44
2018-11-25 01:03:02 +0000,0,Bassett,GS,Possession,1,11,10,16, 8
2018-11-25 01:03:05 +0000,0,Browne,WA,Possession,1,11,10,82, 11
2018-11-25 01:03:08 +0000,1,Turner,GD,Deflect,1,11,10,72, 4
2018-11-25 01:03:08 +0000,0,Wood,GA,Throw In,1,11,10,71, -5
2018-11-25 01:03:23 +0000,1,Proud,C,Penaly - Contact,1,11,10,21, 19
2018-11-25 01:03:23 +0000,0,Scherian ,C,Possession,1,11,10,21, 19
2018-11-25 01:05:29 +0000,0,Scherian ,C,Assist - Circle Entry,1,11,10,21, 19
2018-11-25 01:05:29 +0000,0,Bassett,GS,Possession,1,11,10,50, 12
2018-11-25 01:05:31 +0000,1,McCulloch,WD,Penaly - Other,1,11,10,55, 6
2018-11-25 01:05:31 +0000,0,Wood,GA,Goal - Score,1,11,10,55, 6
2018-11-25 01:05:53 +0000,1,Proud,C,Centre Pass,1,12,10,50, 100
2018-11-25 01:05:53 +0000,1,Hadley,WA,Assist - Centre Pass Rec,1,12,10,31, 126
